name,description,price,location,url
Disneyland Adventures Xbox 360 (000300248238) PG Microsoft Game,"Item Details  Item Number: 000300248238
Model Name: Xbox 360
Brand: Microsoft
Title: Disneyland Adventures
Colour: N/A
Rating: PG   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available befo",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/xbox/disneyland-adventures-xbox-360-000300248238-pg-microsoft-game/1311326713
Nintendo Switch Complete Unit plus Wireless Controller ,"Complete Unit including 1 x Nintendo Switch Dock, 1 x Left Joy-Con, 1 x Right Joy-Con, 1 x AC adapter, 1 x HDMI Cable, 1 x Joy-Con Grip, 1 x carry case with game storage, 1 x wireless controller, 1 x USB charging cable. Like new condition - this unit has been cherished.
CASH ONLY. Please don't waste my time.",$350,"Merriwa, WA< 1899 km",https://www.gumtree.com.au/s-ad/merriwa/other-video-games-consoles/nintendo-switch-complete-unit-plus-wireless-controller-/1311326557
NINTENDO Green house game and watch,"Collectable old school Nintendo game Green House ..
Good condition.. works well I can ship anywhere in Australia for $15",$200,"Rockdale, NSW< 1931 km",https://www.gumtree.com.au/s-ad/rockdale/other-video-games-consoles/nintendo-green-house-game-and-watch/1311326445
Sonic Frontiers   Nintendo Switch Controller,"Played and used once LIKE NEW Prices:
* $60 Cash / Bank Transfer
or
* $30 XRP - (50% DISCOUNT option) when paid with XRP (read below if you're interested in this option) Pick Up. Post option additional $10 with tracking. XRP DISCOUNT: When paid digitally with XRP it is the equivalent of 30 Australian Dollars in XRP (not 30 XRP tokens). If you are interested in this payment option, but are not quite sure in regards to crypto payments feel free to contact me and I'll gladly help anyway i can.",$60,"Blair Athol, SA< 1161 km",https://www.gumtree.com.au/s-ad/blair-athol/video-games/sonic-frontiers-nintendo-switch-controller/1311326385
NINTENDO SWITCH (ADDITIONAL ACCESSORIES INCLUDED),"- Nintendo Switch for sale
- $350, but price is negotiable
-Slightly used, but in great condition
-Comes with everything from the box
- Includes additional accessories
- Has been taken care of very well
- If interested, let me know and we can work out the details",$350,"Cheltenham, VIC< 1766 km",https://www.gumtree.com.au/s-ad/cheltenham/other-video-games-consoles/nintendo-switch-additional-accessories-included-/1311326348
NINTENDO Donkey Kong game and watch,Donkey Kong ..1982 old School collectable double screen .. good condition.. works well I can ship anywhere in Australia for $15 flat fee,$250,"Rockdale, NSW< 1931 km",https://www.gumtree.com.au/s-ad/rockdale/other-video-games-consoles/nintendo-donkey-kong-game-and-watch/1311326278
Google Daydream VR Headset,"Are you ready to enter a world of disappointment and nausea? Then look no further than the Google Daydream VR headset! This incredible piece of technology will transport you to a virtual world where you can experience all the joy of motion sickness and disorientation. You'll feel like you're really there, stumbling around and knocking over virtual objects that you can't even see properly. But don't worry, the fun doesn't stop there! With the Daydream, you can also enjoy a wide range of medioc",$20,"Kew East, VIC< 1751 km",https://www.gumtree.com.au/s-ad/kew-east/console-accessories/google-daydream-vr-headset/1311326123
Secretlab TITAN Evo Gaming Chair | Dark Knight Edition,"Secretlab TITAN Evo Gaming Chair | Dark Knight Edition The World’s First Magnetic Memory Foam Head Pillow on a Gaming Chair Arm-Rest Magnetic Like new condition No flakes No damage on the leather Located in Geelong Can do pick up Delivery: - Around geelong or melboune (with fee applies) Can do trade or swap to iphone 13,14, ps5, xbox etc",$649,"Armstrong Creek, VIC< 1751 km",https://www.gumtree.com.au/s-ad/armstrong-creek/console-accessories/secretlab-titan-evo-gaming-chair-dark-knight-edition/1311326026
Mario and Luigi Bowser's inside story DS,"The game comes with a case and book AUTH
located in West Melbourne local delivery available message for details. also available at https://www.facebook.com/littl3blackdr3ss000 https://t.me/Littl3blackdr3ss https://instagram.com/littl3blackdr3ss?igshid=MTIzZWQxMDU",$50,"Melbourne CBD, VIC< 1749 km",https://www.gumtree.com.au/s-ad/melbourne-cbd/video-games/mario-and-luigi-bowser-s-inside-story-ds/1311325907
Star wars battlefront for Xbox One ,"Star wars battlefront for Xbox one
Xbox One game",$10,"Northgate, QLD< 1934 km",https://www.gumtree.com.au/s-ad/northgate/xbox/star-wars-battlefront-for-xbox-one-/1311325892
UPGRADED HARDRIVE 2TB SSD Ps4 pro 1 control 4 games!,"UPGRADED HARDRIVE 2TB SSD Ps4 pro 1 control 4 games! Rainbow six siege, gta5, overwatch and gt sport! ONLY AROUND 100 HOURS USE CUH-7230! Also includes after market HDMI cord, power supply cord and charging cable!",$285,"Lambton, NSW< 1933 km",https://www.gumtree.com.au/s-ad/lambton/playstation/upgraded-hardrive-2tb-ssd-ps4-pro-1-control-4-games-/1311325730
Soulcalibur for Xbox one,"Soulcalibur for Xbox One
Xbox One game",$10,"Northgate, QLD< 1934 km",https://www.gumtree.com.au/s-ad/northgate/xbox/soulcalibur-for-xbox-one/1311325720
PS3 PS4 BAND HERO / GUITAR HERO WIRELESS DRUM KIT,"PS3 PS4 BAND HERO / GUITAR HERO WIRELESS DRUM KIT, DONGLE & FOOT PEDAL For PlayStation 3 and PlayStation 4* *(Needs PS4 Game - Not Included) Includes: - Wireless Drum Kit
- Foot Pedal
- Dongle
- Drum Sticks
- PS3 Band Hero Game Overall, in good used condition with some signs of wear from previous use. Price is firm, no offers please. Cash on pick up only. Pick up is available from Arundel on the Gold Coast. Happy to arrange postage for an additional cost. Please feel free to ask any qu",$300,"Arundel, QLD< 1966 km",https://www.gumtree.com.au/s-ad/arundel/playstation/ps3-ps4-band-hero-guitar-hero-wireless-drum-kit/1311325680
"PLAYSTATION 3 GUITAR HERO WIRELESS GUITAR, DONGLE & 6x PS3 GAMES","PLAYSTATION 3 GUITAR HERO WIRELESS GUITAR, DONGLE & 6x GAMES Includes: - Guitar Hero Les Paul Wireless Guitar Controller
- Guitar Hero Dongle
- PS3 Band Hero
- PS3 Guitar Hero World Tour
- PS3 Guitar Hero III Legends of Rock
- PS3 Guitar Hero Warriors of Rock
- PS3 Rock Band
- PS3 The Beatles Rockband Overall, in good used condition with a few light marks for previous use. All tested and confirmed working. Price is firm, no offers please. Cash on pick up (unless paying for postage etc.) Pi",$350,"Arundel, QLD< 1966 km",https://www.gumtree.com.au/s-ad/arundel/playstation/playstation-3-guitar-hero-wireless-guitar-dongle-6x-ps3-games/1311325633
Ryse son of Rome Xbox One ,"Ryse son of Rome
For Xbox One
Xbox One game",$10,"Northgate, QLD< 1934 km",https://www.gumtree.com.au/s-ad/northgate/xbox/ryse-son-of-rome-xbox-one-/1311325607
NINTENDO Wii WIRELESS GUITAR HERO GUITAR CONTROLLER & GAMES,"NINTENDO Wii WIRELESS GUITAR HERO GUITAR CONTROLLER & GAMES Includes: - Wii Redoctane Wireless Sunburst Guitar Hero Controller
- Wii Guitar Hero 5 Game
- Wii Guitar Hero Metallica Game
- Wii Guitar Heto Greatest Hits Game All items have been recently tested and work as intended. There are a few light marks and scratches on the front and rear of the guitar controller which are cosmetic only and do not affect use. The guitar controller is wireless and requires a Wii Remote (not included) to ",$250,"Arundel, QLD< 1966 km",https://www.gumtree.com.au/s-ad/arundel/wii/nintendo-wii-wireless-guitar-hero-guitar-controller-games/1311325591
PS4 PRO 1TB,"Hi, selling a PS4 PRO 1TB. the playstation is in very good condition mechanically and physically . l it was mainly used to stream netflix and stan, games were hardly ever played on it. however, doesn’t have a controller, which is why it’s priced cheap. please contact me for any further questions :) (pick up and cash only)",$200,"Winston Hills, NSW< 1909 km",https://www.gumtree.com.au/s-ad/winston-hills/playstation/ps4-pro-1tb/1311325595
Harry Potter Xbox 360 (000300248243) G Microsoft Game Disc,"Item Details  Item Number: 000300248243
Model Name: Xbox 360
Brand: Microsoft
Title: Harry Potter
Colour: N/A
Rating: G   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available before coming.",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/xbox/harry-potter-xbox-360-000300248243-g-microsoft-game-disc/1311325504
Mass Effect Xbox 360 (000300248240) MA15  Microsoft Game Disc,"Item Details  Item Number: 000300248240
Model Name: Xbox 360
Brand: Microsoft
Title: Mass Effect
Colour: N/A
Rating: MA15   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available before comin",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/video-games/mass-effect-xbox-360-000300248240-ma15-microsoft-game-disc/1311325443
Carnival Games In Action Xbox 360 (000300248236) G Microsoft Game,"Item Details  Item Number: 000300248236
Model Name: Xbox 360
Brand: Microsoft
Title: Carnival Games In Action
Colour: N/A
Rating: G   Purchase online and pick up instore in your spare time or have it posted to your door with tracking and signature on arrival.
90-day warranty with this item.
For more photos, information or even to make a reasonable offer on this item feel free to email us on  * Please call/message to confirm this item is still available be",$3,"Clarkson, WA< 1898 km",https://www.gumtree.com.au/s-ad/clarkson/xbox/carnival-games-in-action-xbox-360-000300248236-g-microsoft-game/1311325381
